source,query_id,passage_num,doc_idx,is_gt_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,is_positive_doc,category
sweep,0,3.0,0,False,counter-factual,-34.125,-1,0.0,1.5219205358503076,19.19018348676043,True,0,False,-25.125,,factuality-disrupting
sweep,0,3.0,1,False,counter-factual,-49.875,-1,0.0,1.5406999323966026,19.986024013842904,True,0,False,-25.125,,factuality-disrupting
sweep,0,3.0,2,True,ground-truth,-2.375,0,0.0,0.9615776618579628,8.630200312131935,True,0,False,-25.125,,confidence-only
sweep,1,3.0,0,True,ground-truth,-2.1875,0,0.0,0.8860259197425872,14.786438025494148,True,0,False,-11.3125,,confidence-only
sweep,1,3.0,1,False,counter-factual,-31.4375,-1,0.0,1.6698658165802829,25.00545914262972,True,0,False,-11.3125,,factuality-disrupting
sweep,1,3.0,2,False,counter-factual,-27.6875,0,0.0,1.4274602340616989,18.710406720927544,True,0,False,-11.3125,,confidence-only
sweep,2,3.0,0,False,counter-factual,-2.1953125,0,0.0,2.578818193493272,24.59289341725909,True,0,False,-0.4453125,,confidence-only
sweep,2,3.0,1,False,counter-factual,-0.0546875,0,0.0,1.3197522701100364,13.3892068404313,False,0,False,-0.4453125,,neutral
sweep,2,3.0,2,True,ground-truth,-0.1953125,0,0.0,1.7442130830237634,13.722920444152209,False,0,False,-0.4453125,,neutral
sweep,3,3.0,0,True,ground-truth,0.0859375,0,0.0,1.4734768689082662,12.060472243796182,False,0,False,-1.375,,neutral
sweep,3,3.0,1,False,counter-factual,0.0625,0,0.0,1.390977780627174,12.562159443184717,False,0,False,-1.375,,neutral
sweep,3,3.0,2,False,counter-factual,0.8046875,0,0.0,1.7602351323983254,18.514884501007774,False,0,False,-1.375,,neutral
sweep,4,3.0,0,True,ground-truth,-25.125,1,0.0,1.3172043949025538,13.40638639933636,True,1,True,-13.125,,factuality-critical
sweep,4,3.0,1,False,counter-factual,-3.625,1,0.0,1.343495421959247,10.52480069807739,True,1,True,-13.125,,factuality-critical
sweep,4,3.0,2,False,counter-factual,-47.625,0,0.0,1.493616790986849,16.31810469398678,True,1,True,-13.125,,confidence-only
sweep,5,3.0,0,False,counter-factual,-18.625,0,0.0,1.282497263576508,15.0701914010465,True,0,False,-18.875,,confidence-only
sweep,5,3.0,1,True,ground-truth,-10.75,0,0.0,1.404152348064375,15.879436882640416,True,0,False,-18.875,,confidence-only
sweep,5,3.0,2,False,counter-factual,-40.125,-1,0.0,1.473213330695165,18.686820661774547,True,0,False,-18.875,,factuality-disrupting
sweep,6,3.0,0,False,counter-factual,3.40625,0,0.0,1.3493963711721748,14.072192044044073,False,1,True,-7.65625,,neutral
sweep,6,3.0,1,False,counter-factual,1.71875,0,0.0,0.7063220127764871,8.309835475235076,False,1,True,-7.65625,,neutral
sweep,6,3.0,2,True,ground-truth,-15.21875,1,0.0,1.9809525815194573,23.931408257005625,True,1,True,-7.65625,,factuality-critical
sweep,7,3.0,0,True,ground-truth,-35.8125,1,0.0,2.160660435090392,22.61719087205609,True,1,True,-8.9375,,factuality-critical
sweep,7,3.0,1,False,counter-factual,-8.6875,1,0.0,1.807977390976912,16.50841341002828,True,1,True,-8.9375,,factuality-critical
sweep,7,3.0,2,False,counter-factual,-12.5625,0,0.0,1.1793322569782785,10.8218258330007,True,1,True,-8.9375,,confidence-only
sweep,8,3.0,0,False,counter-factual,-3.78125,0,0.0,1.1594714910242954,12.914978800066434,True,0,False,-6.03125,,confidence-only
sweep,8,3.0,1,True,ground-truth,-2.21875,0,0.0,1.371911659081373,13.65550035098119,True,0,False,-6.03125,,confidence-only
sweep,8,3.0,2,False,counter-factual,-36.46875,0,0.0,2.894355491081257,34.87219859887872,True,0,False,-6.03125,,confidence-only
sweep,9,3.0,0,True,ground-truth,0.390625,0,0.0,1.8511192814781257,19.753213644309163,False,0,False,-0.6640625,,neutral
sweep,9,3.0,1,False,counter-factual,-0.765625,0,0.0,2.020263862446677,15.575366451565069,False,0,False,-0.6640625,,neutral
sweep,9,3.0,2,False,counter-factual,-2.7421875,0,0.0,2.1452163161311875,22.159301051871203,True,0,False,-0.6640625,,confidence-only
sweep,0,5.0,0,False,counter-factual,0.5,-1,0.0,0.6239766073858717,5.776257003610541,True,0,False,-16.5,,factuality-weak
sweep,0,5.0,1,False,counter-factual,-22.25,0,0.0,0.8450066462039537,10.796668344440914,True,0,False,-16.5,,confidence-only
sweep,0,5.0,2,False,counter-factual,-36.0,0,0.0,1.2225873913715866,14.174725388887278,True,0,False,-16.5,,confidence-only
sweep,0,5.0,3,True,ground-truth,-1.375,0,0.0,0.8964255738970025,6.7226132850921765,False,0,False,-16.5,,neutral
sweep,0,5.0,4,False,counter-factual,-22.25,0,0.0,1.0961838778122068,12.011643897976478,True,0,False,-16.5,,confidence-only
sweep,1,5.0,0,False,counter-factual,0.8125,1,0.0,1.021237297601038,12.69937317440841,True,1,True,-8.625,,fact-only
sweep,1,5.0,1,True,ground-truth,-2.75,1,0.0,0.6073225951132997,9.912265890021516,True,1,True,-8.625,,factuality-critical
sweep,1,5.0,2,False,counter-factual,-0.3125,0,0.0,0.8145238363804863,13.170335402846847,False,1,True,-8.625,,neutral
sweep,1,5.0,3,False,counter-factual,-7.875,0,0.0,0.9897259833823484,15.135429108322164,True,1,True,-8.625,,confidence-only
sweep,1,5.0,4,False,counter-factual,-20.0,1,0.0,0.8667785641542983,18.74309452834598,True,1,True,-8.625,,factuality-critical
sweep,2,5.0,0,False,counter-factual,-2.1953125,0,0.0,2.578818193493272,24.59289341725909,True,0,False,-0.4453125,,confidence-only
sweep,2,5.0,1,False,counter-factual,-0.0546875,0,0.0,1.3197522701100364,13.3892068404313,False,0,False,-0.4453125,,neutral
sweep,2,5.0,2,True,ground-truth,-0.1953125,0,0.0,1.7442130830237634,13.722920444152209,False,0,False,-0.4453125,,neutral
sweep,3,5.0,0,False,counter-factual,-1.09375,0,0.0,1.8980675909349405,15.93216746609152,False,0,False,-6.4375,,neutral
sweep,3,5.0,1,True,ground-truth,1.9375,-1,0.0,0.5899075056202983,8.789324507414783,True,0,False,-6.4375,,factuality-weak
sweep,3,5.0,2,False,counter-factual,-0.84375,0,0.0,1.0485047182661231,12.511263507874942,False,0,False,-6.4375,,neutral
sweep,3,5.0,3,False,counter-factual,-3.0,-1,0.0,0.9863915373101864,9.031628684458523,True,0,False,-6.4375,,factuality-disrupting
sweep,3,5.0,4,False,counter-factual,-0.09375,-1,0.0,0.707414967851093,8.301537712504535,True,0,False,-6.4375,,factuality-weak
sweep,4,5.0,0,False,counter-factual,-29.0625,0,0.0,1.3991181866069964,12.213880099447302,True,1,True,-10.4375,,confidence-only
sweep,4,5.0,1,False,counter-factual,-26.5625,0,0.0,0.8453448808710616,8.396611671016347,True,1,True,-10.4375,,confidence-only
sweep,4,5.0,2,True,ground-truth,-24.8125,1,0.0,0.8171988954312294,8.605567611991507,True,1,True,-10.4375,,factuality-critical
sweep,4,5.0,3,False,counter-factual,-27.0625,0,0.0,1.3917394394490532,12.472693179771932,True,1,True,-10.4375,,confidence-only
sweep,5,5.0,0,False,counter-factual,-0.22265625,0,0.0,1.44116180581621,11.443675105846054,False,0,False,-0.72265625,,neutral
sweep,5,5.0,1,True,ground-truth,-0.02734375,0,0.0,1.4111092882927485,10.321465610110078,False,0,False,-0.72265625,,neutral
sweep,5,5.0,2,False,counter-factual,-0.20703125,0,0.0,0.6028945005384189,7.160436031340163,False,0,False,-0.72265625,,neutral
sweep,5,5.0,3,False,counter-factual,-0.01953125,0,0.0,1.425289326907646,10.696586285557608,False,0,False,-0.72265625,,neutral
sweep,5,5.0,4,False,counter-factual,0.015625,0,0.0,1.2817724123047527,8.912182400202218,False,0,False,-0.72265625,,neutral
sweep,6,5.0,0,False,counter-factual,-11.0625,0,0.0,1.0394791977826086,10.344906615034107,True,1,True,-11.8125,,confidence-only
sweep,6,5.0,1,False,counter-factual,-1.5,0,0.0,0.5265079715961107,6.015824482995642,False,1,True,-11.8125,,neutral
sweep,6,5.0,2,True,ground-truth,-36.1875,1,0.0,1.8994344524147515,21.77496141229158,True,1,True,-11.8125,,factuality-critical
sweep,7,5.0,0,False,counter-factual,0.0625,-1,0.0,2.0038472708819683,15.21384138042641,True,0,False,-3.125,,factuality-weak
sweep,7,5.0,1,True,ground-truth,-0.125,0,0.0,1.1678159108469273,12.564705474099668,False,0,False,-3.125,,neutral
sweep,7,5.0,2,False,counter-factual,-20.0,-1,0.0,1.69817053388882,21.437064264682643,True,0,False,-3.125,,factuality-disrupting
sweep,7,5.0,3,False,counter-factual,-1.28125,0,0.0,1.0987191076604326,10.77442721501108,False,0,False,-3.125,,neutral
sweep,7,5.0,4,False,counter-factual,-0.71875,-1,0.0,1.271699123128455,8.300105306479189,True,0,False,-3.125,,factuality-weak
sweep,8,5.0,0,False,counter-factual,-1.25,0,0.0,1.440457083473919,16.30196304641199,False,0,False,-4.3125,,neutral
sweep,8,5.0,1,True,ground-truth,0.703125,0,0.0,0.5909765138800914,6.902947082691731,False,0,False,-4.3125,,neutral
sweep,8,5.0,2,False,counter-factual,-0.125,0,0.0,0.4718041507477081,5.4067559928164455,False,0,False,-4.3125,,neutral
